Kode,Kelompok_Pangan
A,Serealia
B,Umbi berpati
C,"Kacang, biji"
D,Sayuran
E,Buah
F,"Daging, unggas"
G,"Ikan, kerang, udang"
H,Telur
J,Susu
K,Lemak dan minyak
M,"Gula, sirup, konfeksioneri"
N,Bumbu
Q,Minuman
